ID,知识点,题型,主观题类型,题干（前120字）,正确答案（前80字）,选项数量,难度
128,久期的计算,subjective,calculate,"一保险公司必须向其客户付款。第一笔是一年后支付1000万美元，第二笔是五年后支付400万美元。收益率曲线水平在10%。
如果公司想通过单一的一种零息债券来充分融资以豁免对该客户的债务责任，则他购买的债券期限是多少？
零息债券的面值和市场价值","久期D=(1000/1.1*1+400/1.1^5*5)/1157=1.86年
（2）零息债券市场价值与债务的市场价值相等为1157万美元
面值为1157*1.",0,1226
31,久期计算,subjective,calculate,一种3年期债券的息票率为6%，每年支付一次利息，到期收益率为6%，请计算这种债券的久期。如果到期收益率为10%，那么久期等于多少？利用久期计算的债券价格与实际债券价格相差多少？,"久期D=2833.392/1000=2.833年
同理到期收益率为10%时
久期D=2542.899/900.525=2.824年
以后者为例，到期收益率为10",0,1216
32,久期计算,subjective,calculate,某10年期不可赎回债券，息票率为6%，每半年支付一次利息，按面值100元出售。在债券持续期间到期收益率保持不变。求该债券当前和下一年的久期。,"因为该债券按面值发行，所以其半年期的到期收益率等于半年期的息票率3%。
当前的久期：
下一期的久期：
同理可计算其他各期久期，结果见下表

备注：期数多的久期计",0,1217
176,二叉树,subjective,calculate,假设一种不支付红利股票目前的市价为10元，我们知道3个月后，该股票价格要么是11元，要么是9元。假设现在的无风险年利率等于10%，现在我们要找出一份3个月期协议价格为10.5元的该股票欧式看涨期权的价值。,"P=[e^(10%*3/12)-0.9]/(1.1-0.9)=0.6266
V=(0.5*0.6266+0*0.3734)*e^(-0.1*0.25)=0.31",0,1308
177,二叉树,subjective,calculate,"你拥有3年期的欧式看涨期权，执行价为200万元，市场价为170万元。波动率为每年15%，无风险收益率为12%。
（1）构建二叉树
（2）计算看涨期权的价值","（1）
（2）
d=1/u=0.86
p=(e^rT-d)/(u-d)=0.89
V= p^3*65.35 *e^(-rT*3)=32.142元

备注：遇到这",0,1309
172,二叉树定价,subjective,calculate,"现在某股票指数在50点水平，你需要运用二叉树模型对2年期的指数期权估值。股票指数有两种变动方式：上升20%或下降20%，年无风险利率为6%，假设指数中的任何成份股都不派发股利。
（1）计算行权价格为60点的欧式看涨期权的价值。
（2）计算行","（1）
p=(e^rT-d)/(u-d)=(e^6%-0.8)/(1.2-0.8)=0.655
C=(0.655^2*12)*e^(-6%*2)=4.565
（",0,1304
180,二叉树定价,subjective,calculate,假设该标的资产为不付红利的股票，其当前市价为50元，波动率为每年40%，无风险连续复利年利率为10%，该股票3个月期的欧式看跌期权协议价格为50元，求该期权的价值。,"d=1/u=0.8909
p=(e^rT-d)/(u-d)=0.5076
股价二叉树：
期权二叉树：
其中9.89=(5.45*0.5076+14.64*0.4",0,1312
184,二叉树的计算,subjective,calculate,假设A公司股票价格为30元，有一份以该股票为标的资产的看涨期权，波动率为每年10%，无风险连续复利年利率为4%，该股票4个月期的欧式看跌期权协议价格为30元，求该期权的价值。,"d=0.9715
P=0.55
股价二叉树
期权二叉树
即该看跌期权价值为0.466元。

备注：多期二叉树的计算要繁琐很多，同学们在解题时一定要细致，不要以为",0,1316
218,互换,subjective,calculate,假设某利率互换的名义本金为100万美元，期限为1年，浮动利率按6个月的LIBOR计，固定利率的支付频率为每半年支付一次。目前市场上为期6个月和1年的LIBOR分别为9%和10%（均为半年记一次复利的年利率），则互换利率为多少？,"设下半年的远期利率为f2、互换利率为x
r1=9%/2=4.5%  r2=10%/2=5%
(1+r1)(1+f2)=(1+5%)2
解得f2=5.5%
(x/",0,1344
221,互换,subjective,calculate,假定美国的收益率曲线平坦在4%，欧元收益率曲线平坦在3%。目前的汇率是1.50美元/欧元。3年期的外汇互换协议的互换比率是多少？该互换协议要求每年以100万欧元换取固定数量的美元。,"将外汇互换协议分解为3个独立的远期合约，远期价格为
第一年：1.50*(1.04/1.03)^1*100=151.46万美元
第二年：1.50*(1.04/1.",0,1348
220,互换定价,subjective,calculate,"某投资者进行1,000,000元的利率互换，接受半年付息年利息率为6%的固定利率现金流，付出6个月LIBOR的浮动利率现金流，互换还有15个月的期限，3个月，9个月和15个月进行支付。3个月、9个月和15个月的即期LIBOR利率（连续复利）",Bfixed=[30000*e^(-0.054*0.25)]+[30000*e^(-0.056*0.75)]+[1030000*e^(-0.058*1.25)],0,1347
223,互换定价,subjective,calculate,"假设在一笔1年期利率互换协议中，某一金融机构支付3个月的LIBOR,同时收取4.8%的年利率（3个月计一次复利），名义本金为1亿美元，互换还有9个月的期限。目前3个月、6个月、9个月的LIBOR（连续复利）分别为4.8%、5%和5.1%。试","Bfix=120e^(-0.048*0.25)+120e^(-0.05*0.5)+10120e^(-0.051*0.75)
=9975.825万美元
由于互换还",0,1350
219,互换设计,subjective,calculate,"A公司需要美元贷款，B公司需要英镑贷款，A、B两家公司面临如下利率：
如果某金融机构要为他们安排互换，且该机构至少要赚10个点的利差，如果对A、B有同样的吸引力，它们各要付多少利率？","A公司的相对优势是借英镑，B公司的相对优势是借美元，因此令A公司在市场上借入英镑、B公司借入美元并进行互换。
互换总收益为0.8%-0.4%=0.4，扣除金融机",0,1345
240,保证金,subjective,calculate,"投资者借20000美元去买迪士尼公司的股票，每股现价为80美元，投资者账户初始保证金要求50%，维持保证金比率为35%，两天后股价降至75美元。
（1）投资者会受到追缴保证金的通知吗？
（2）股价降至多少投资者会受到追缴保证金的通知？","（1）(500*75-20000)/500*75=46.67%
不会受到追缴保证金的通知。
（2）(500P-20000)/500P=35%
解得P=61.54",0,1367
241,保证金,subjective,calculate,"假设某IT公司现以80美元/股的价格卖出股票，投资者买了250股，其中15000美元是投资者的自有资金，其余则是投资者从经纪人处借得的，保证金贷款的利率是8%。
（1）当该公司股票立刻变为88美元、80美元、72美元时，投资者的经纪人账户上","（1）当股票为88元时：
250*80=20000元  借入5000元
(88-80)*250/15000=13.33%
当股票为80元时：
价格不变，净价值不",0,1368
12,债券价值,subjective,calculate,债券A和债券B面值和息票率相等，皆为1000和8%。A债券期限为5年，B债券期限为10年。若市场利率波动比如由8%上升为10%，则哪个证券的价格波动幅度更大？波动比率高多少？,"Pa=1000*8%*PVIFA(10%，5)+1000/(1+10%)^5=925.18元
Pb=1000*8%*PVIFA(10%，10)+1000/(1+",0,1204
9,债券估值,subjective,calculate,有一债券面值为1000元，票面利率为8%，每半年支付一次利息，5年到期。折现率为10%，该债券的价值为多少？,"P=(80/2)*PVIFA(5%,10)+1000/(1+5%)^10=922.77元

备注：注意“年限”并不一定是一整年，而是“一期”。半年付息意味着一年",0,1201
38,免疫组合,subjective,calculate,你的养老基金计划将在10年内每年支付10000美元。第一笔支付将在五年后，养老金想将其头寸免疫。\n它对你的债务的久期是多少？当期利率为每年10%。\n如果养老金计划使用5年期和20年期的零息债券来构建免疫头寸并完全融资，两种债券分别占多少,"因为支付流从5年后开始，而不是第一年，因此我们必须在久期加4年，得到久期为8.7255年\n（2）递延年金的现值为10000*PVIFA(10%, 10)/1.",0,1224
126,免疫组合,subjective,calculate,"你的养老基金计划将在10年内每年支付10000美元。第一笔支付将在五年后，养老金想将其头寸免疫。
它对你的债务的久期是多少？当期利率为每年10%。
如果养老金计划使用5年期和20年期的零息债券来构建免疫头寸并完全融资，两种债券分别占多少？两","因为支付流从5年后开始，而不是第一年，因此我们必须在久期加4年，得到久期为8.7255年
（2）递延年金的现值为10000*PVIFA(10%, 10)/1.1",0,1224
37,免疫组合的构建,subjective,calculate,养老基金向受益人支付终身年金，如果一公司永远保留在一个行业内，养老基金债务就类似永久年金。假定你管理着一家养老基金，其债务为每年向受益人支付200万美元，永不终止，所有债券的到期收益率都是16%。\n如果5年期，息票率为12%（每年付息）的,债务的D=(1+y)/y=1.16/0.16=7.25年\n令五年期债券持有比例为w，则有4w+11(1-w)=7.25 得w=0.5357\n因此5年期债券的,0,1223
125,免疫组合的构建,subjective,calculate,"养老基金向受益人支付终身年金，如果一公司永远保留在一个行业内，养老基金债务就类似永久年金。假定你管理着一家养老基金，其债务为每年向受益人支付200万美元，永不终止，所有债券的到期收益率都是16%。
如果5年期，息票率为12%（每年付息）的债","债务的D=(1+y)/y=1.16/0.16=7.25年
令五年期债券持有比例为w，则有4w+11(1-w)=7.25 得w=0.5357
因此5年期债券的持有",0,1223
70,公司价值,subjective,calculate,腾飞公司已经决定四年后前往伯明翰。由于运输成本的存在以及已用的机器不存在二手市场，该公司的所有机器在四年后没有价值，该公司需要购买以下两种机器的一种。\n机器按照直线法进行摊销。该公司的公司税率为34%；该公司是全权益的，公司市场价值是10,（1）Rs=rf+β*(rm-rf)=10%+(0.048/0.04)*(20%-10%)=22%\n（2）NPV重型=-1000+[640*(1-34%)+1,0,1254
85,公司价值,subjective,calculate,一公司永续EBIT为500万元，无杠杆情况下股东要求的回报率为10%。又已知公司可以以5%的利率发行500万债券并进行股票回购，税率为25%，求：（1）无税MM理论下，所有者权益为多少？  （2）有税MM理论下，所有者权益为多少？税盾效应为,"（1）Vu=500/10%=5000万元
VL=Vu=5000万元
B=500万元  S=4500万元
（2）Vu=S=500*(1-25%)/10%=3750",0,1270
100,公司价值,subjective,calculate,某公司的负债权益比为2/3，权益的期望收益率为16%，公司债券的税前成本为10%。该公司的销售收入预期将永远稳定保持在去年的19740000美元，变动成本等于销售收入的60%。该公司的公司税率为40%，且在每年年底将其所有收益作为股利派发出,（1）无杠杆现金流=19740000(1-60%)*(1-40%)=4737600美元\n公司价值：4737600/16%=29610000美元\n（2）股东期,0,1289
101,公司价值,subjective,calculate,一公司的负债权益比为2/3，非杠杆权益的期望收益率为16%，公司债券的税前成本为10%。该公司的销售收入预期将永远稳定保持在去年的19740000美元，变动成本等于销售收入的60%。该公司的公司税率为40%，且在每年年底将其所有收益作为股利,（1）无杠杆现金流=19740000*(1-60%)*(1-40%)=4737600美元\n公司价值：4737600/16%=29610000美元\n（2）股东,0,1290
148,公司价值,subjective,calculate,"腾飞公司已经决定四年后前往伯明翰。由于运输成本的存在以及已用的机器不存在二手市场，该公司的所有机器在四年后没有价值，该公司需要购买以下两种机器的一种。
机器按照直线法进行摊销。该公司的公司税率为34%；该公司是全权益的，公司市场价值是100","（1）Rs=rf+β*(rm-rf)=10%+(0.048/0.04)*(20%-10%)=22%
（2）NPV重型=-1000+[640*(1-34%)+10",0,1254
162,公司价值,subjective,calculate,某公司的负债权益比为2/3，权益的期望收益率为16%，公司债券的税前成本为10%。该公司的销售收入预期将永远稳定保持在去年的19740000美元，变动成本等于销售收入的60%。该公司的公司税率为40%，且在每年年底将其所有收益作为股利派发出,"（1）无杠杆现金流=19740000(1-60%)*(1-40%)=4737600美元
公司价值：4737600/16%=29610000美元
（2）股东期望收",0,1289
163,公司价值,subjective,calculate,一公司的负债权益比为2/3，非杠杆权益的期望收益率为16%，公司债券的税前成本为10%。该公司的销售收入预期将永远稳定保持在去年的19740000美元，变动成本等于销售收入的60%。该公司的公司税率为40%，且在每年年底将其所有收益作为股利,"（1）无杠杆现金流=19740000*(1-60%)*(1-40%)=4737600美元
公司价值：4737600/16%=29610000美元
（2）股东期望",0,1290
82,公司估值,subjective,calculate,Star公司正在讨论是否要将其全权益资本结构转变为40%的负债。现在发行在外的股份数为5000股，同时每股价格65美元。预计EBIT将保持每年37500美元。新增负债的利息率为8%，没有税收。\n（1）公司股东之一布朗女士持有100股股票。,（1）EPS=37500/5000=7.5美元\n现金流=7.5*100=750美元\n（2）Vu=65*5000=325000美元\n其中B=130000，S,0,1267
153,公司估值,subjective,calculate,"Star公司正在讨论是否要将其全权益资本结构转变为40%的负债。现在发行在外的股份数为5000股，同时每股价格65美元。预计EBIT将保持每年37500美元。新增负债的利息率为8%，没有税收。
（1）公司股东之一布朗女士持有100股股票。假","（1）EPS=37500/5000=7.5美元
现金流=7.5*100=750美元
（2）Vu=65*5000=325000美元
其中B=130000，S=19",0,1267
35,凸度的计算,subjective,calculate,设某固定利率债券本金为100万美元，剩余期限为3年，息票率为6%，每年付息一次，到期收益率为5%，请计算;\n（1）该债券的凸性；\n（2）其他条件不变，请计算剩余期限为1年，该债券的凸性；\n（3）其他条件不变，请计算息票率为10%时，该,（1）P=6/1.05+6/1.052+106/1.053=102.72\nC =1/102.72*(1*2*6/1.05^3+2*3*6/1.05^4+3*4,0,1221
123,凸度的计算,subjective,calculate,"设某固定利率债券本金为100万美元，剩余期限为3年，息票率为6%，每年付息一次，到期收益率为5%，请计算;
（1）该债券的凸性；
（2）其他条件不变，请计算剩余期限为1年，该债券的凸性；
（3）其他条件不变，请计算息票率为10%时，该债券的","（1）P=6/1.05+6/1.052+106/1.053=102.72
C =1/102.72*(1*2*6/1.05^3+2*3*6/1.05^4+3*4*",0,1221
36,凸性的计算,subjective,calculate,新发行的10年期债券，息票率为7%（每年付息），债券按面值出售。\n该债券的久期和凸度是多少？\n假定其到期收益率由7%升到8%（期限仍为10年），求该债券的实际价格。\n根据久期法则估算的价格是多少？这一方法的误差百分比是多少？\n根据久,到期收益率变为8%时，\n债券价格P=70/1.08+70/1.082+……+1070/1.0810=932.9元\n即债券价格下降到原来的93.29%，下降百,0,1222
124,凸性的计算,subjective,calculate,"新发行的10年期债券，息票率为7%（每年付息），债券按面值出售。
该债券的久期和凸度是多少？
假定其到期收益率由7%升到8%（期限仍为10年），求该债券的实际价格。
根据久期法则估算的价格是多少？这一方法的误差百分比是多少？
根据久期—凸性","到期收益率变为8%时，
债券价格P=70/1.08+70/1.082+……+1070/1.0810=932.9元
即债券价格下降到原来的93.29%，下降百分比",0,1222
222,利率互换,subjective,calculate,假设在一笔2年期的利率互换协议中，某一金融机构支付3个月的LIBOR，同时每3个月收取固定利率（3个月计一次复利），名义本金为1亿美元。目前3个月，6个月，9个月，12个月，15个月，18个月，21个月以及2年的贴现率（连续复利）分别为4.,"在本题中，Bfl=10000万美元
令Bfix=k/4[e^(-0.048*0.25)+e^(-0.05*0.5)+e^(-0.051*0.75)+e^(-0.",0,1349
224,利率互换,subjective,calculate,假设在一笔互换合约中，某一金融机构每半年支付6个月期的LIBOR，同时收取8%的年利率（半年计一次复利），名义本金为1亿美元，互换还有1.25年期限。3个月、9个月和15个月的LIBOR（连续复利率）分别为10%、10.5%和11%。上一次,"Bfix=400e-0.1*0.25+400e-0.105*0.75+10400e-0.11*1.25=0.9824亿美元
Bfl=(10000+510)e-0",0,1351
193,利率平价,subjective,calculate,假定货币期货市场上德国马克对美元比价为1.66德国马克/美元。你借入167000德国马克并兑换成美元，在美国无风险利率市场投资。同时你在期货市场上买入172640德国马克（按目前市场价格，一年期）。已知美国无风险利率为4%，德国无风险利率为,"167000/1.67*1.04*1.66=172640马克
172640-167000*(1+3%)=630马克
盈利了630德国马克。

备注：在做此类题时",0,1323
197,利率平价理论,subjective,calculate,假设目前英镑的即期汇率为1.60美元，美国和英国的一年起国债的无风险利率分别为4%和8%，求英镑的一年期远期汇率。若英镑的一年期实际远期汇率为1.58美元，请问投资者采取什么样的政策可以获得无风险套利收益？,"（1）根据套补的利率平价理论，一年期的远期汇率为
f=e*(1+i)/(1+i*)=1.6*1.04/1.08=1.5407
（2）英镑的实际远期汇率高于理论汇",0,1327
20,利率的期限结构,subjective,calculate,观察下列期限结构\n如果你相信明年的期限结构与今年相同，那么，1年期零息债券和4年期零息债券哪个1年期的持有期收益率更高？\n如果你相信期望假说，又会如何？,（1）4年期零息债券现在的价格为1000/1.064^4=780.25 美元\n第二年，收益率曲线不变时，现在的4年期债券还有3年到期，价格为1000/1.06,0,1211
26,利率的期限结构,subjective,calculate,当前，1年期零息债券的到期收益率为7%，2年期零息债券的到期收益率为8%，政府计划发行2年期债券，每年付息，息票率为9%，债券面值为100美元。\n该债券售价为多少？\n该债券的到期收益率为多少？\n如果收益率曲线的预期理论是正确的，则市场,"（2）到期收益率y满足 9/(1+y)+109/(1+y)^2=101.86\n求得y=7.598%\n（3）根据零息债券收益率曲线，推出第二年的远期利率f1,",0,1212
115,利率的期限结构,subjective,calculate,"观察下列期限结构
如果你相信明年的期限结构与今年相同，那么，1年期零息债券和4年期零息债券哪个1年期的持有期收益率更高？
如果你相信期望假说，又会如何？","（1）4年期零息债券现在的价格为1000/1.064^4=780.25 美元
第二年，收益率曲线不变时，现在的4年期债券还有3年到期，价格为1000/1.063",0,1211
117,利率的期限结构,subjective,calculate,"当前，1年期零息债券的到期收益率为7%，2年期零息债券的到期收益率为8%，政府计划发行2年期债券，每年付息，息票率为9%，债券面值为100美元。
该债券售价为多少？
该债券的到期收益率为多少？
如果收益率曲线的预期理论是正确的，则市场预期明","（2）到期收益率y满足 9/(1+y)+109/(1+y)^2=101.86
求得y=7.598%
（3）根据零息债券收益率曲线，推出第二年的远期利率f1,2满",0,1212
167,单指数模型,subjective,calculate,"假定市场上只有A、B两种股票，市值占比分别为0.6、0.4。A的超额收益的标准差为20%，B的超额收益的标准差为40%，两者超额收益的相关系数为0.5。请问：
（1）股票A的β是多少？
（2）股票A的非系统性风险是多少？
（3）现假定市场上","（1）市场超额收益的方差为
β=Cov(A,m)/=0.04/0.0592=0.6757
（2）由单指数模型可知，
系统性风险==0.0270
总风险=0.04",0,1299
99,卸杠杆加杠杆,subjective,calculate,X公司正在研究如何调整公司的资本结构。目前，公司发行在外的股票为4000万股，每股价格20元，负债权益比0.25，公司的β为1.2，公司的债务评级为AAA，对应的市场利率基本等于目前8%的无风险利率水平，市场风险溢价为5%。公司的所得税率为,（1）Rs=8%+1.2*5%=14%\nRwacc=0.2*8%*0.75+0.8*4%=12.4%\n（2）S=4000*20=80000\nVL=8000,0,1288
161,卸杠杆加杠杆,subjective,calculate,X公司正在研究如何调整公司的资本结构。目前，公司发行在外的股票为4000万股，每股价格20元，负债权益比0.25，公司的β为1.2，公司的债务评级为AAA，对应的市场利率基本等于目前8%的无风险利率水平，市场风险溢价为5%。公司的所得税率为,"（1）Rs=8%+1.2*5%=14%
Rwacc=0.2*8%*0.75+0.8*4%=12.4%
（2）S=4000*20=80000
VL=80000*5",0,1288
244,发行价格,subjective,calculate,假设某商业汇票报价为：票面金额10000万元，利率3.06%，到期期限还有30天，则该商业票据的发行价格是？,"10000/(1+3.06%*30/360)=9974.666万元

备注：请同学们自行分析为何采用除法。",0,1373
247,可转债的计算,subjective,calculate,某一可转债，面值为1000元，票面利率8%，每年支付80元的利息，转换比例为40，转换年限为5年。若当前的普通股市价为26元每股，股票价格预期每年上涨10%，而投资者预期的可转换债券到期收益率为9%，则第四年末，该债券的底线价值为多少？,"第四年的股票价格=26*1.1^4=38.067元
第四年的转换价值=38.067*40=1522.68元
纯粹价值=1080/1.09=990.83元
底线价",0,1376
196,合约价格,subjective,calculate,"某股票预计在2个月和5个月后每股分别派发1元股息，该股票目前市价为30元，设所有期限的无风险连续复利年利率都为6%，某投资者刚刚取得该股票6个月期的远期合约空头，请问：
（1）远期价格和远期合约的初始价值等于多少？
（2）3个月后该股票价格","（1）0时点，远期合约初始价值等于0
F6=(S0-PV(D))*e^rT
F6=[30-1*e^[(-6%)*2/12]-1*e^[(-6%)*5/12]]*",0,1326
204,含红利/成本的远期价格,subjective,calculate,假设黄金现价为每盎司733美元，其存储成本为每年每盎司2美元，一年后支付，美元一年期无风险利率为4%，则一年期期货的理论价格是多少？,"其中I=2e^(-4%*1)=1.92美元
故 F=(733+1.92)e^(4%*1)=764.91 美元

备注：黄金的存储成本可看成负收益，I是收益的现值",0,1331
245,商业票据贴现,subjective,calculate,某企业将一张票面金额为10000元、3个月后到期的商业票据提交银行请求贴现。若银行的年贴现率为6％，那么银行应付给企业多少现款？银行扣除了多少贴息?,"贴现利息＝票面金额*贴现率*时间=10000*6％*3/12=150元
贴现金额＝票面金额-贴现利息=10000-150=9850元
银行应付给该企业9850元",0,1374
246,商业票据贴现,subjective,calculate,某公司持有一张面额10 000元的票据去银行办理贴现，该票据50天后到期，银行的年贴现率为12％，该公司可以从银行得到多少现款?,"贴现额=10000*(1-12％*50/365)=9835.6元
该公司可得到9835.6元。

备注：同上。",0,1375
97,复原平衡,subjective,calculate,A公司正在考虑收购所在行业的B公司，预计此次收购将在第一年使得A公司增加240万元的息税前利润，18万元的折旧，50万元的资本支出，40万元的净营运资本。从第二年起，自由现金流将以3%的速度增长。A公司的协议收购价格为1000万元。交易完成,（1）FCFF=240*(1-25%)+18-50-40=108万元\nVL=FCFF/(Rwacc-g)=1200万元\n（2）1200-1000=200万元,0,1286
160,复原平衡,subjective,calculate,A公司正在考虑收购所在行业的B公司，预计此次收购将在第一年使得A公司增加240万元的息税前利润，18万元的折旧，50万元的资本支出，40万元的净营运资本。从第二年起，自由现金流将以3%的速度增长。A公司的协议收购价格为1000万元。交易完成,"（1）FCFF=240*(1-25%)+18-50-40=108万元
VL=FCFF/(Rwacc-g)=1200万元
（2）1200-1000=200万元
（",0,1286
14,复合收益率的计算,subjective,calculate,"假设一只债券，票面利率为8%，剩余期限为3年，每年付息一次，卖价为953.1美元，接下来3年确定的利率是r1=8%，r2=10%，r3=12%,计算到期收益率和年复合收益率。","80/(1+r)+80/(1+r)2+1080/(1+r)3=953.1
到期收益率r=9.88%
年复合收益率：首先求出再投资的息票和本金的终值
FV=(80",0,1206
54,套利,subjective,calculate,假设证券收益由单因素模型确定，即\nRi表示证券i的超额收益，Rm表示市场超额收益，无风险利率为2%，同样假设证券A、B、C，其数据如下表所示。\n如果σm=20%，计算证券A、B和C的方差。\n现在假定资产的种类无限多，并且与A、B和C具,（1）由\n（2）如果存在无限多的资产，即n无限大的时，组合的非系统性风险被充分分散，资产组合将只有系统性风险，\n充分分散化\n充分分散化\n充分分散化\n均,0,1238
139,套利,subjective,calculate,"假设证券收益由单因素模型确定，即
Ri表示证券i的超额收益，Rm表示市场超额收益，无风险利率为2%，同样假设证券A、B、C，其数据如下表所示。
如果σm=20%，计算证券A、B和C的方差。
现在假定资产的种类无限多，并且与A、B和C具有相同","（1）由
（2）如果存在无限多的资产，即n无限大的时，组合的非系统性风险被充分分散，资产组合将只有系统性风险，
充分分散化
充分分散化
充分分散化
均值将等于个",0,1238
208,套利,subjective,calculate,"考虑标普500指数期货合约，6个月到期。6个月无风险利率为3%，未来6个月预期支付股利的价值为15美元。指数现行水平为1425。市场上允许卖空。
（1）若市场的期望收益率为12%，则6个月后预期的指数应该是多少？
（2）理论上，标普500指","（1）S0*(1+rm)-D=(1425*1.06)-15=1495.50
（2）S0*(1+rf)-D=(1425*1.03)-15=1452.75
（3）期",0,1335
211,套利,subjective,calculate,"小A是一位日本银行的外汇交易员，正在计算6个月期日元/美元外汇期货合约的价格，下面是她搜集到的数据：
（1）利用以上数据，计算6个月期日元/美元外汇期货合约的理论价格。
（2）小A还用一下的外汇与利率数据重新计算了3个月期日元/美元外汇期货","（1）由平价公式可得：
F0=E0*e^[(rjp-rus)*0.5]=124.30*e^[(0.0010-0.0380)*0.5]=122.0193
（2）
",0,1337
187,套利组合,subjective,calculate,"下面是S公司一证券分析师构建的三只股票的投资方案。
（1）使用这三只股票构建一套利资产组合。
（2）当恢复平衡时，这些股票价格可能会如何变化？","（1）首先将各种情况下收益率转化为每股美元收益，如下表：
确认套利组合需要满足两个条件：组合为零投资组合、且在任何情况下都表现为非负的收入。例如卖空两股A和两股",0,1319
202,套期保值,subjective,calculate,已知12月20日某进口商预计3个月后将用美元支付8000万英镑的进口货款，担心届时英镑汇价上涨，决定通过外汇期货交易进行套期保值。12月20日伦敦国际金融期货交易所3月份交割英镑对美元外汇期货价格为1英镑=1.6750美元；3月20日时，英,"即期进入合约多头，
套期保值合约数=8000万/6.25万=1280张
到期对冲期货合约，
远期合约每英镑获利=1.6970-1.6750=0.0220美元
期",0,1329
209,套期保值,subjective,calculate,"你管理的资产组合价值为1650万美元，全部投资于股票。你认为市场现在正处于下跌趋势的边缘，因此你想将自产组合暂时转换为国债，却不想承担交易成本以及重新构建你的头寸。作为替代，你决定暂时用标普500指数期货合约来对冲你的股票头寸。
（1）你准","（1）卖出股指期货合约。如果股票价格下降，可于期货空头获利以弥补损失。
（2）每份合约中股票的价值=250*1650=412500美元
为对冲1650万美元的资",0,1336
64,实物期权,subjective,calculate,目前某公司有一新项目，预期在未来十年内每年售出9000单位产品，每单位产品将带来50美元的净现金流。相关折现率为16%，初始投资为1900000美元。\n（1）基本情况下的净现值是多少？\n（2）第一年后项目可以拆除并以1300000美元的,"（1）NPV=-1900000+450000*PVIFA(16%, 10)=274952.37美元\n（2）1300000=50*Q*PVIFA(16%, 9)",0,1248
65,实物期权,subjective,calculate,在上一题的背景下，若你认为当第一年的销售成功时，预期销售量将被上调至11000单位。而如果第一年销售不成功的话，预期销售量将会被下调至4000单位。\n（1）如果成功与失败的概率相等，请问该项目的净现值是多少？\n（2）放弃期权的价值是多少,"（1）上行=11000*50*PVIFA(16%,9)=2533599.13美元\n下行=1300000美元\nNPV=-1900000+[(上行+下行)*50",0,1249
145,实物期权,subjective,calculate,"目前某公司有一新项目，预期在未来十年内每年售出9000单位产品，每单位产品将带来50美元的净现金流。相关折现率为16%，初始投资为1900000美元。
（1）基本情况下的净现值是多少？
（2）第一年后项目可以拆除并以1300000美元的价格","（1）NPV=-1900000+450000*PVIFA(16%, 10)=274952.37美元
（2）1300000=50*Q*PVIFA(16%, 9)
",0,1248
146,实物期权,subjective,calculate,"在上一题的背景下，若你认为当第一年的销售成功时，预期销售量将被上调至11000单位。而如果第一年销售不成功的话，预期销售量将会被下调至4000单位。
（1）如果成功与失败的概率相等，请问该项目的净现值是多少？
（2）放弃期权的价值是多少？","（1）上行=11000*50*PVIFA(16%,9)=2533599.13美元
下行=1300000美元
NPV=-1900000+[(上行+下行)*50%+",0,1249
175,带红利的期权合约,subjective,calculate,某一协议价格为25元，有效期6个月的欧式看涨期权价格为2元，标的股票价格为24元，该股票预计在2个月和5个月后各支付0.5元股息，所有期限的无风险连续复利年利率为8%，请问该股票协议价格为25元，有效期6个月的欧式看跌期权价格等于多少？,"当含红利时，平价关系为P+S-PV(D)=C+PV(K)
即P+24-PV(D)=2+25*e^[(-8%)*6/12]
PV(D)=0.5*e^[(-8%)*",0,1307
13,收益率,subjective,calculate,某公司发行5年到期的债券，票面面额为1 000元，售价为960元，年息票率为7％，半年付息一次。试计算：\n（1）当期收益率\n（2）到期收益率\n（3）持有3年后，将该债券以992元的价格出售，则该投资者的实际收益率为多少?,"（1）当期收益率=70/960=7.29%\n（2）到期收益率\n960=1000*3.5%*PVIFA(r/2,10)+1000/(1+r/2)^10\n根据",0,1205
19,收益率,subjective,calculate,2007年5月3日中国建设银行07央行票据25的报价为97.43元。07央行票据25是央行发行的1年期贴现票据。债券起息日为2007年3月21日，到期日为2008年3月21日。则其2007年5月3日的贴现收益率、真实年收益率、债券等价收益率,"[(100-97.43)/100]*360/323=2.86%
[1+(100-97.43)/97.43]^(365/323)-1=2.99%
[(100-97",0,1210
47,收益率,subjective,calculate,已知无风险资产收益率为8%，市场组合收益率为15%。A公司股票的贝塔系数为1.2，派息比率40%，最近每股盈利10美元，刚刚支付了每年支付一次的股息，预期该股票的股东权益收益率为20%。\n（1）求该股票的内在价值\n（2）假如当前的股价为,（1）股息增长率g=b*ROE=(1-40%)*20%=12%\n折现率r=8%+1.2*(15%-8%)=16.4%\nP0=D1/(r-g)=10*40%*,0,1231
50,收益率,subjective,calculate,A公司现在有好几个盈利产品，还有一些极富希望的产品正在研发中。公司每股收益1美元，每股分红为0.5美元，股利刚刚发放。投资者相信公司能够保持这一股利分配率。股权收益率为20%，该公司所处行业要求的收益率是15%。市场普遍认为情况时不确定的。,（1）E0=1 D0=0.5 ROE=20% r=15%\n因此b=0.5  g=b*ROE=10%\nP0=D1/(r-g)=0.5*(1+10%)/(15%,0,1234
